time	V(vgnd)	V(vraw)
3.998114285714287e-03	1.180729e+01	2.346063e+01
4.020971428571429e-03	1.180725e+01	2.346063e+01
4.043828571428571e-03	1.180722e+01	2.346063e+01
4.066685714285713e-03	1.180718e+01	2.346063e+01
4.089542857142855e-03	1.180715e+01	2.346063e+01
4.112399999999997e-03	1.180711e+01	2.346063e+01
4.155257142857138e-03	1.180705e+01	2.346063e+01
4.198114285714279e-03	1.180698e+01	2.346063e+01
4.240971428571420e-03	1.180692e+01	2.346063e+01
4.283828571428562e-03	1.180685e+01	2.346063e+01
4.326685714285703e-03	1.180678e+01	2.346063e+01
4.369542857142843e-03	1.180672e+01	2.346063e+01
4.412399999999985e-03	1.180665e+01	2.346063e+01
5.208114285714239e-03	1.180545e+01	2.346063e+01
6.003828571428492e-03	1.180426e+01	2.346063e+01
6.799542857142745e-03	1.180309e+01	2.346063e+01
7.595257142856999e-03	1.180194e+01	2.346063e+01
8.390971428571252e-03	1.180081e+01	2.346063e+01
9.186685714285506e-03	1.179970e+01	2.346063e+01
9.982399999999758e-03	1.179860e+01	2.346063e+01
9.992399999999757e-03	1.179859e+01	2.346063e+01
1.145382857142827e-02	1.179663e+01	2.346063e+01
1.291525714285678e-02	1.179472e+01	2.346063e+01
1.437668571428529e-02	1.179286e+01	2.346063e+01
1.583811428571381e-02	1.179105e+01	2.346063e+01
1.729954285714232e-02	1.178930e+01	2.346063e+01
1.876097142857083e-02	1.178760e+01	2.346063e+01
2.022239999999934e-02	1.178596e+01	2.346063e+01
2.023239999999934e-02	1.178594e+01	2.346063e+01
2.169382857142785e-02	1.178435e+01	2.346063e+01
2.315525714285637e-02	1.178279e+01	2.346063e+01
2.461668571428488e-02	1.178127e+01	2.346063e+01
2.607811428571339e-02	1.177980e+01	2.346063e+01
2.753954285714191e-02	1.177838e+01	2.346063e+01
2.900097142857042e-02	1.177699e+01	2.346063e+01
3.046239999999893e-02	1.177565e+01	2.346063e+01
3.047239999999892e-02	1.177564e+01	2.346063e+01
3.193382857142790e-02	1.177434e+01	2.346063e+01
3.339525714285689e-02	1.177307e+01	2.346063e+01
3.485668571428586e-02	1.177184e+01	2.346063e+01
3.631811428571485e-02	1.177064e+01	2.346063e+01
3.777954285714383e-02	1.176947e+01	2.346063e+01
3.924097142857282e-02	1.176834e+01	2.346063e+01
4.070240000000179e-02	1.176725e+01	2.346063e+01
4.071240000000179e-02	1.176724e+01	2.346063e+01
